Source	Utterance/Speech Name
Mozilla Common Voice	sample-116476.mp3
Mozilla Common Voice	sample-176567.mp3
Mozilla Common Voice	sample-181574.mp3
Mozilla Common Voice	sample-164065.mp3
Mozilla Common Voice	sample-178666.mp3
Mozilla Common Voice	sample-159898.mp3
Mozilla Common Voice	sample-120152.mp3
Mozilla Common Voice	sample-088214.mp3
Mozilla Common Voice	sample-027299.mp3
Mozilla Common Voice	sample-149344.mp3
Mozilla Common Voice	sample-104508.mp3
Mozilla Common Voice	sample-099829.mp3
Mozilla Common Voice	sample-050891.mp3
Mozilla Common Voice	sample-005504.mp3
Mozilla Common Voice	sample-188289.mp3
Mozilla Common Voice	sample-032785.mp3
Mozilla Common Voice	sample-011532.mp3
Mozilla Common Voice	sample-010004.mp3
Mozilla Common Voice	sample-096814.mp3
Mozilla Common Voice	sample-040848.mp3
Mozilla Common Voice	sample-012060.mp3
Mozilla Common Voice	sample-171142.mp3
Mozilla Common Voice	sample-037449.mp3
Mozilla Common Voice	sample-005611.mp3
Mozilla Common Voice	sample-153667.mp3
Mozilla Common Voice	sample-041899.mp3
Mozilla Common Voice	sample-095415.mp3
Mozilla Common Voice	sample-140419.mp3
Mozilla Common Voice	sample-161622.mp3
Mozilla Common Voice	sample-007898.mp3
Mozilla Common Voice	sample-056268.mp3
Mozilla Common Voice	sample-181957.mp3
Mozilla Common Voice	sample-123129.mp3
Mozilla Common Voice	sample-183616.mp3
Mozilla Common Voice	sample-077685.mp3
Mozilla Common Voice	sample-113323.mp3
Mozilla Common Voice	sample-188098.mp3
Mozilla Common Voice	sample-066145.mp3
Mozilla Common Voice	sample-185128.mp3
Mozilla Common Voice	sample-083802.mp3
Mozilla Common Voice	sample-101952.mp3
Mozilla Common Voice	sample-125021.mp3
Mozilla Common Voice	sample-000167.mp3
Mozilla Common Voice	sample-115078.mp3
Mozilla Common Voice	sample-189861.mp3
Mozilla Common Voice	sample-044210.mp3
Mozilla Common Voice	sample-166041.mp3
Mozilla Common Voice	sample-081504.mp3
Mozilla Common Voice	sample-049383.mp3
Mozilla Common Voice	sample-108767.mp3
Mozilla Common Voice	sample-109315.mp3
Mozilla Common Voice	sample-068745.mp3
Mozilla Common Voice	sample-108995.mp3
Mozilla Common Voice	sample-155720.mp3
Mozilla Common Voice	sample-155820.mp3
Mozilla Common Voice	sample-072574.mp3
Mozilla Common Voice	sample-142139.mp3
Mozilla Common Voice	sample-160952.mp3
Mozilla Common Voice	sample-084593.mp3
Mozilla Common Voice	sample-171785.mp3
Mozilla Common Voice	sample-077785.mp3
Mozilla Common Voice	sample-183774.mp3
Mozilla Common Voice	sample-161230.mp3
Mozilla Common Voice	sample-031870.mp3
Mozilla Common Voice	sample-045246.mp3
Mozilla Common Voice	sample-139573.mp3
Mozilla Common Voice	sample-139082.mp3
Mozilla Common Voice	sample-148238.mp3
Mozilla Common Voice	sample-183749.mp3
Mozilla Common Voice	sample-012094.mp3
Mozilla Common Voice	sample-158274.mp3
Mozilla Common Voice	sample-103481.mp3
Mozilla Common Voice	sample-088099.mp3
Mozilla Common Voice	sample-080420.mp3
Mozilla Common Voice	sample-160098.mp3
Mozilla Common Voice	sample-139859.mp3
Mozilla Common Voice	sample-030575.mp3
Mozilla Common Voice	sample-097431.mp3
Mozilla Common Voice	sample-066457.mp3
Mozilla Common Voice	sample-022359.mp3
Mozilla Common Voice	sample-059509.mp3
Mozilla Common Voice	sample-140144.mp3
Mozilla Common Voice	sample-010728.mp3
Mozilla Common Voice	sample-126448.mp3
Mozilla Common Voice	sample-057299.mp3
Mozilla Common Voice	sample-135538.mp3
Mozilla Common Voice	sample-065263.mp3
Mozilla Common Voice	sample-053777.mp3
